@@,geo,time,mean_years_in_school_women_25_to_34_years,changes(%)
->,tcd,1974,0.2->0.42,110.00
->,tgo,1974,0.8->1.19,48.75
->,tls,1974,0.6->2.19,265.00
->,ton,1974,7.5->6.56,12.53
->,tun,1974,1.4->1.81,29.29
->,tur,1974,2.3->3.27,42.17
->,twn,1974,5.4->7,29.63
->,tza,1974,1.9->2.52,32.63
->,uga,1974,1.6->1.98,23.75
->,ukr,1974,9.7->7.93,18.25
->,ury,1974,7.3->6.55,10.27
+++,vct,1974,4.8,
->,vnm,1974,5->4.03,19.40
->,vut,1974,3->3.42,14.00
->,yem,1974,0.1->0.3,200.00
->,zaf,1974,4.5->5.65,25.56
->,zwe,1974,3.2->4.09,27.81
->,afg,1975,0.1->0.25,150.00
->,ago,1975,1.3->1.66,27.69
->,alb,1975,6.8->6.01,11.62
+++,and,1975,8.93,
->,arm,1975,8.3->7.15,13.86
->,atg,1975,9.1->8.1,10.99
->,aus,1975,10.2->9.12,10.59
->,bdi,1975,0.8->1.18,47.50
->,ben,1975,0.6->0.78,30.00
->,bfa,1975,0.3->0.43,43.33
->,bgd,1975,1.1->1.35,22.73
->,bhs,1975,8.1->7.15,11.73
->,bih,1975,3.9->4.96,27.18
->,blr,1975,9.4->8.28,11.91
->,blz,1975,5.4->4.05,25.00
->,bol,1975,3.5->3.91,11.71
+++,brb,1975,4.93,
+++,brn,1975,8.16,
+++,btn,1975,0.94,
->,caf,1975,0.7->1.32,88.57
->,che,1975,9->8.04,10.67
->,chn,1975,3.2->4.09,27.81
->,civ,1975,0.8->1.12,40.00
->,cmr,1975,1.8->2.12,17.78
->,cod,1975,1.8->2.14,18.89
->,cog,1975,2.5->3.06,22.40
->,com,1975,0.8->1.82,127.50
->,cpv,1975,1.4->2.04,45.71
->,cri,1975,5.9->5.31,10.00
->,cub,1975,7.4->6.64,10.27
->,cze,1975,10.4->8.73,16.06
->,dji,1975,0.6->1.17,95.00
+++,dma,1975,6.01,
->,dza,1975,1.9->2.73,43.68
->,egy,1975,2.4->2.94,22.50
->,eri,1975,0.5->1.14,128.00
->,esp,1975,4.6->6.59,43.26
->,est,1975,9.1->8.1,10.99
->,eth,1975,0.3->1.09,263.33
->,fji,1975,6.7->6,10.45
+++,fsm,1975,6.22,
->,gab,1975,3.1->4.97,60.32
->,gbr,1975,10->8.65,13.50
->,geo,1975,10->8.33,16.70
->,gin,1975,0.4->0.55,37.50
->,gmb,1975,0.7->0.99,41.43
->,gnb,1975,0.3->0.61,103.33
->,gnq,1975,2.3->2.57,11.74
+++,grd,1975,4.93,
->,gtm,1975,1.8->2.34,30.00
->,hrv,1975,5.8->6.48,11.72
->,hti,1975,1.2->2.05,70.83
->,idn,1975,2.7->3.37,24.81
->,ind,1975,1.4->1.56,11.43
->,irq,1975,3.2->1.94,39.38
+++,isl,1975,8.51,
->,jam,1975,7.3->6.21,14.93
->,jor,1975,3.9->4.8,23.08
->,ken,1975,2.4->2.78,15.83
->,khm,1975,1.6->1.89,18.12
->,kwt,1975,3.9->4.9,25.64
->,lao,1975,1.2->1.97,64.17
+++,lby,1975,2.07,
->,lca,1975,6.6->5.66,14.24
->,lva,1975,10.1->8.37,17.13
->,mar,1975,0.9->1.38,53.33
->,mdv,1975,3.6->2.91,19.17
+++,mlt,1975,6.45,
->,mmr,1975,2.5->2.79,11.60
->,mng,1975,6.9->5.93,14.06
->,moz,1975,0.7->0.92,31.43
->,mrt,1975,0.5->1.41,182.00
->,mus,1975,3.4->3.82,12.35
->,nam,1975,3.6->3.98,10.56
->,ner,1975,0.2->0.38,90.00
->,nga,1975,1.6->2.21,38.12
->,npl,1975,0.3->0.76,153.33
->,omn,1975,1.8->2.98,65.56
->,pak,1975,0.7->0.97,38.57
->,per,1975,4.7->5.26,11.91
->,png,1975,1.3->2.03,56.15
+++,prk,1975,5.24,
->,prt,1975,4.5->5.15,14.44
->,pse,1975,4.1->4.94,20.49
->,rus,1975,8.1->8.95,10.49
