@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
->,cub,1974,7.6->6.73,11.45
->,cze,1974,11.5->9.23,19.74
->,deu,1974,9.6->8.41,12.40
->,dji,1974,3.2->3.74,16.88
+++,dma,1974,5.79,
->,dnk,1974,10.5->9.45,10.00
->,dza,1974,2.3->2.93,27.39
->,eri,1974,1.5->2.47,64.67
->,esp,1974,5.3->6.99,31.89
->,eth,1974,1.1->2.42,120.00
->,fji,1974,7.9->6.91,12.53
+++,fsm,1974,7.31,
->,gbr,1974,10.5->9.2,12.38
->,gha,1974,5.3->4.31,18.68
->,gin,1974,1.5->1.85,23.33
->,gmb,1974,2->2.58,29.00
->,gnb,1974,1.4->1.77,26.43
+++,grd,1974,5.02,
->,gtm,1974,2.9->3.27,12.76
->,guy,1974,6.6->5.1,22.73
->,hti,1974,2.1->3.26,55.24
->,irn,1974,4.2->3.78,10.00
->,irq,1974,5.9->3.72,36.95
+++,isl,1974,8.49,
->,jam,1974,7.3->6.07,16.85
->,kir,1974,6.1->5.42,11.15
->,kwt,1974,4.5->5.22,16.00
->,lao,1974,2.6->2.99,15.00
->,lbr,1974,2.8->2.5,10.71
+++,lby,1974,3.89,
->,lca,1974,6.3->5.65,10.32
->,mar,1974,2.5->2.77,10.80
->,mda,1974,8.8->7.51,14.66
->,mdv,1974,4.3->3.68,14.42
->,mhl,1974,6.6->5.17,21.67
+++,mlt,1974,7.1,
->,mne,1974,8.6->7.33,14.77
->,mng,1974,7.2->5.94,17.50
->,mrt,1974,1.6->2.65,65.62
->,ner,1974,0.5->1.01,102.00
->,nga,1974,3.7->4.07,10.00
->,npl,1974,2.1->2.96,40.95
->,omn,1974,3.5->4.53,29.43
->,per,1974,6.2->6.84,10.32
->,png,1974,2.9->3.69,27.24
+++,prk,1974,6.93,
->,pry,1974,5.2->4.55,12.50
->,sau,1974,5.8->6.75,16.38
->,sdn,1974,3.2->4.11,28.44
->,sen,1974,1.7->1.93,13.53
->,sgp,1974,6.4->7.13,11.41
->,som,1974,1.3->1.44,10.77
+++,ssd,1974,1.18,
->,swz,1974,3.7->4.09,10.54
->,tcd,1974,1.3->1.79,37.69
->,tgo,1974,2.7->3.08,14.07
->,tha,1974,5.6->4.96,11.43
->,tls,1974,1.7->3.41,100.59
->,tun,1974,4.9->4.2,14.29
->,tur,1974,4.5->5.18,15.11
->,twn,1974,7.3->8.2,12.33
->,ukr,1974,9.8->8.13,17.04
+++,vct,1974,5.02,
->,vnm,1974,6.3->4.92,21.90
->,yem,1974,1.5->2.51,67.33
->,zaf,1974,5->6.09,21.80
->,zmb,1974,5.2->4.36,16.15
->,afg,1975,1.3->1.55,19.23
+++,and,1975,9.04,
->,are,1975,5.8->5.15,11.21
->,arm,1975,8.5->7.62,10.35
->,atg,1975,8.9->7.75,12.92
->,aus,1975,10.5->9.45,10.00
->,ben,1975,2->2.24,12.00
->,bfa,1975,0.8->1.09,36.25
->,bhr,1975,5.2->4.66,10.38
->,blr,1975,9.4->8.29,11.81
->,blz,1975,6.2->4.86,21.61
+++,brb,1975,5.13,
+++,brn,1975,9.35,
+++,btn,1975,2.78,
->,caf,1975,2.8->3.19,13.93
->,che,1975,10.7->9.41,12.06
->,chn,1975,5.3->5.93,11.89
->,civ,1975,2.4->2.75,14.58
->,cod,1975,5.2->4.25,18.27
->,com,1975,2.2->3.16,43.64
->,cpv,1975,2.6->2.95,13.46
->,cri,1975,5.9->5.16,12.54
->,cub,1975,7.8->6.87,11.92
->,cze,1975,11.6->9.37,19.22
->,deu,1975,9.8->8.56,12.65
->,dji,1975,3.4->3.82,12.35
+++,dma,1975,5.9,
->,dnk,1975,10.7->9.59,10.37
->,dza,1975,2.4->3.02,25.83
->,eri,1975,1.6->2.53,58.12
->,esp,1975,5.5->7.13,29.64
->,eth,1975,1.2->2.49,107.50
->,fji,1975,8->7.02,12.25
+++,fsm,1975,7.44,
->,gbr,1975,10.7->9.34,12.71
->,gha,1975,5.4->4.41,18.33
->,gin,1975,1.6->1.9,18.75
->,gmb,1975,2.1->2.64,25.71
->,gnb,1975,1.5->1.82,21.33
+++,grd,1975,5.13,
->,gtm,1975,3->3.35,11.67
->,guy,1975,6.8->5.21,23.38
->,hti,1975,2.2->3.34,51.82
->,irq,1975,6->3.83,36.17
+++,isl,1975,8.63,
->,jam,1975,7.5->6.2,17.33
->,kir,1975,6.2->5.52,10.97
->,kwt,1975,4.7->5.34,13.62
->,lao,1975,2.7->3.07,13.70
->,lbr,1975,2.9->2.58,11.03
+++,lby,1975,3.98,
->,mda,1975,9->7.64,15.11
->,mdv,1975,4.4->3.76,14.55
->,mhl,1975,6.8->5.28,22.35
+++,mlt,1975,7.2,
->,mne,1975,8.7->7.46,14.25
->,mng,1975,7.4->6.06,18.11
->,mrt,1975,1.7->2.72,60.00
->,ner,1975,0.5->1.03,106.00
->,npl,1975,2.2->3.04,38.18
->,omn,1975,3.7->4.63,25.14
->,png,1975,3->3.77,25.67
+++,prk,1975,7.06,
->,pry,1975,5.3->4.65,12.26
->,qat,1975,4.7->4.18,11.06
->,sau,1975,6->6.88,14.67
->,sdn,1975,3.4->4.19,23.24
->,sgp,1975,6.5->7.27,11.85
->,som,1975,1.3->1.48,13.85
+++,ssd,1975,1.21,
->,tcd,1975,1.4->1.84,31.43
->,tgo,1975,2.8->3.15,12.50
->,tha,1975,5.7->5.07,11.05
->,tls,1975,1.8->3.5,94.44
->,ton,1975,8.2->7.32,10.73
->,tun,1975,5.1->4.33,15.10
->,tur,1975,4.7->5.29,12.55
->,ukr,1975,9.9->8.27,16.46
+++,vct,1975,5.13,
->,vnm,1975,6.4->5.02,21.56
->,yem,1975,1.6->2.58,61.25
->,zaf,1975,5.1->6.19,21.37
->,zmb,1975,5.4->4.46,17.41
->,afg,1976,1.4->1.59,13.57
+++,and,1976,9.17,
->,are,1976,6->5.29,11.83
->,arm,1976,8.7->7.75,10.92
->,atg,1976,9.1->7.88,13.41
->,bfa,1976,0.8->1.12,40.00
->,bgd,1976,3.1->2.79,10.00
->,bhr,1976,5.4->4.77,11.67
->,blr,1976,9.6->8.43,12.19
->,blz,1976,6.4->4.96,22.50
+++,brb,1976,5.24,
+++,brn,1976,9.49,
+++,btn,1976,2.85,
->,caf,1976,2.9->3.27,12.76
->,che,1976,10.9->9.56,12.29
->,chn,1976,5.4->6.05,12.04
->,civ,1976,2.5->2.81,12.40
->,cod,1976,5.3->4.34,18.11
->,com,1976,2.3->3.24,40.87
->,cpv,1976,2.7->3.02,11.85
->,cri,1976,6->5.27,12.17
->,cub,1976,7.9->7.01,11.27
->,cze,1976,11.8->9.51,19.41
->,deu,1976,10->8.71,12.90
->,dji,1976,3.5->3.91,11.71
+++,dma,1976,6.02,
->,dza,1976,2.5->3.11,24.40
->,eri,1976,1.7->2.6,52.94
->,esp,1976,5.7->7.26,27.37
->,eth,1976,1.2->2.56,113.33
->,fji,1976,8.2->7.13,13.05
+++,fsm,1976,7.57,
->,gbr,1976,10.8->9.48,12.22
->,gha,1976,5.6->4.51,19.46
->,gin,1976,1.7->1.95,14.71
->,gmb,1976,2.2->2.71,23.18
->,gnb,1976,1.6->1.87,16.88
+++,grd,1976,5.24,
->,gtm,1976,3.1->3.43,10.65
->,guy,1976,7->5.31,24.14
->,hti,1976,2.3->3.43,49.13
->,ind,1976,4.2->3.73,11.19
->,irq,1976,6.1->3.96,35.08
+++,isl,1976,8.77,
->,jam,1976,7.6->6.33,16.71
->,kir,1976,6.4->5.63,12.03
->,kwt,1976,4.8->5.47,13.96
->,lao,1976,2.8->3.14,12.14
->,lbr,1976,3->2.65,11.67
+++,lby,1976,4.07,
->,lca,1976,6.6->5.88,10.91
->,mda,1976,9.2->7.77,15.54
->,mdv,1976,4.5->3.84,14.67
->,mhl,1976,7->5.39,23.00
+++,mlt,1976,7.31,
->,mne,1976,8.9->7.59,14.72
->,mng,1976,7.5->6.18,17.60
->,mrt,1976,1.7->2.79,64.12
->,ner,1976,0.6->1.06,76.67
->,npl,1976,2.3->3.11,35.22
->,omn,1976,3.8->4.73,24.47
->,png,1976,3.1->3.86,24.52
+++,prk,1976,7.18,
->,pry,1976,5.4->4.75,12.04
->,qat,1976,4.8->4.28,10.83
->,sau,1976,6.1->7.01,14.92
->,sdn,1976,3.5->4.28,22.29
->,sen,1976,1.8->2.03,12.78
->,sgp,1976,6.7->7.42,10.75
->,slv,1976,4.5->4.04,10.22
+++,ssd,1976,1.24,
->,sur,1976,5.6->4.99,10.89
->,tcd,1976,1.4->1.89,35.00
->,tgo,1976,2.9->3.23,11.38
->,tha,1976,5.8->5.17,10.86
->,tls,1976,1.8->3.58,98.89
->,ton,1976,8.4->7.45,11.31
->,tun,1976,5.3->4.47,15.66
->,tur,1976,4.8->5.4,12.50
->,ukr,1976,10.1->8.41,16.73
+++,vct,1976,5.24,
->,vnm,1976,6.5->5.13,21.08
->,yem,1976,1.7->2.66,56.47
->,zaf,1976,5.3->6.3,18.87
->,zmb,1976,5.5->4.56,17.09
->,afg,1977,1.4->1.63,16.43
+++,and,1977,9.31,
->,are,1977,6.2->5.43,12.42
->,arm,1977,8.8->7.88,10.45
->,atg,1977,9.3->8.01,13.87
->,bdi,1977,2->2.2,10.00
->,bfa,1977,0.9->1.15,27.78
->,bgd,1977,3.2->2.86,10.63
->,bhr,1977,5.6->4.9,12.50
->,blr,1977,9.8->8.57,12.55
->,blz,1977,6.5->5.07,22.00
+++,brb,1977,5.34,
+++,brn,1977,9.63,
+++,btn,1977,2.91,
->,caf,1977,3->3.34,11.33
->,che,1977,11.1->9.7,12.61
->,chn,1977,5.6->6.16,10.00
->,cod,1977,5.5->4.44,19.27
->,cog,1977,6.2->5.53,10.81
->,com,1977,2.4->3.32,38.33
