alternative_gdp_per_capita_ppp_wb,geo,time
914.1,caf,1981
955.5,caf,1982
851.7,caf,1983
906,caf,1984
916.9,caf,1985
927.2,caf,1986
862.4,caf,1987
859,caf,1988
857.4,caf,1989
820.1,caf,1990
795.8,caf,1991
726,caf,1992
709.8,caf,1993
725.9,caf,1994
759.4,caf,1995
712.1,caf,1996
733.2,caf,1997
751.4,caf,1998
762.8,caf,1999
765.8,caf,2000
754.4,caf,2001
737.8,caf,2002
671.1,caf,2003
667.1,caf,2004
672,caf,2005
685.7,caf,2006
698.5,caf,2007
699.5,caf,2008
698.2,caf,2009
707.6,caf,2010
715.6,caf,2011
650.4,tcd,1980
642.8,tcd,1981
661.7,tcd,1982
747,tcd,1983
742.7,tcd,1984
880,tcd,1985
819.7,tcd,1986
775.9,tcd,1987
868.2,tcd,1988
882.3,tcd,1989
819.5,tcd,1990
862.7,tcd,1991
904,tcd,1992
739.3,tcd,1993
790,tcd,1994
775.5,tcd,1995
768.4,tcd,1996
786.8,tcd,1997
815.1,tcd,1998
783.3,tcd,1999
750.5,tcd,2000
808.9,tcd,2001
846.4,tcd,2002
936.8,tcd,2003
1209,tcd,2004
1374,tcd,2005
1336,tcd,2006
1302,tcd,2007
1262,tcd,2008
1215,tcd,2009
1337,tcd,2010
1343,tcd,2011
5654,chl,1980
5833,chl,1981
5150,chl,1982
4876,chl,1983
5179,chl,1984
5456,chl,1985
5666,chl,1986
5940,chl,1987
6266,chl,1988
6809,chl,1989
6937,chl,1990
7355,chl,1991
8108,chl,1992
8518,chl,1993
8848,chl,1994
9629,chl,1995
10190,chl,1996
10710,chl,1997
10910,chl,1998
10690,chl,1999
11030,chl,2000
11270,chl,2001
11380,chl,2002
11700,chl,2003
12270,chl,2004
12660,chl,2005
13250,chl,2006
13790,chl,2007
14110,chl,2008
13830,chl,2009
14540,chl,2010
15270,chl,2011
524,chn,1980
544.2,chn,1981
585,chn,1982
639.5,chn,1983
727.1,chn,1984
814.1,chn,1985
872.6,chn,1986
958.4,chn,1987
1050,chn,1988
1076,chn,1989
1101,chn,1990
1186,chn,1991
1338,chn,1992
1507,chn,1993
1686,chn,1994
1849,chn,1995
2013,chn,1996
2178,chn,1997
2325,chn,1998
2480,chn,1999
2667,chn,2000
2868,chn,2001
3108,chn,2002
3398,chn,2003
3719,chn,2004
4115,chn,2005
4611,chn,2006
5239,chn,2007
5712,chn,2008
6206,chn,2009
6819,chn,2010
7404,chn,2011
5297,col,1980
5296,col,1981
5229,col,1982
5196,col,1983
5255,col,1984
5303,col,1985
5496,col,1986
5673,col,1987
5784,col,1988
5863,col,1989
6097,col,1990
6116,col,1991
6304,col,1992
6334,col,1993
6581,col,1994
6799,col,1995
6816,col,1996
6926,col,1997
6845,col,1998
6446,col,1999
6619,col,2000
6620,col,2001
6678,col,2002
6831,col,2003
7084,col,2004
7305,col,2005
7677,col,2006
8085,col,2007
8250,col,2008
8268,col,2009
8479,col,2010
8861,col,2011
1206,com,1980
1208,com,1981
1243,com,1982
1262,com,1983
1275,com,1984
1268,com,1985
1257,com,1986
1245,com,1987
1247,com,1988
1178,com,1989
1208,com,1990
1116,com,1991
1182,com,1992
1188,com,1993
1099,com,1994
1110,com,1995
1069,com,1996
1084,com,1997
1070,com,1998
1062,com,1999
1050,com,2000
1056,com,2001
1071,com,2002
1068,com,2003
1038,com,2004
1053,com,2005
1037,com,2006
1015,com,2007
997.6,com,2008
989.1,com,2009
983.8,com,2010
980.1,com,2011
778.7,cod,1980
775.1,cod,1981
750.8,cod,1982
740.9,cod,1983
760.5,cod,1984
742.5,cod,1985
755.1,cod,1986
752.7,cod,1987
733.1,cod,1988
700,cod,1989
630.9,cod,1990
555.7,cod,1991
477.3,cod,1992
396.5,cod,1993
367.1,cod,1994
357.7,cod,1995
344.5,cod,1996
317.6,cod,1997
305.8,cod,1998
286.4,cod,1999
260.2,cod,2000
247.9,cod,2001
249.2,cod,2002
255.8,cod,2003
264.7,cod,2004
277,cod,2005
284.2,cod,2006
293.6,cod,2007
303.2,cod,2008
303.4,cod,2009
316.5,cod,2010
329.3,cod,2011
2951,cog,1980
3370,cog,1981
4044,cog,1982
4157,cog,1983
4319,cog,1984
4148,cog,1985
3756,cog,1986
3659,cog,1987
3623,cog,1988
3617,cog,1989
3556,cog,1990
3544,cog,1991
3541,cog,1992
3413,cog,1993
3140,cog,1994
3177,cog,1995
3223,cog,1996
3114,cog,1997
3140,cog,1998
2976,cog,1999
3120,cog,2000
3160,cog,2001
3230,cog,2002
3182,cog,2003
3216,cog,2004
3381,cog,2005
3494,cog,2006
3345,cog,2007
3434,cog,2008
3592,cog,2009
3808,cog,2010
3885,cog,2011
6378,cri,1980
6063,cri,1981
5466,cri,1982
5468,cri,1983
5649,cri,1984
5553,cri,1985
5718,cri,1986
5950,cri,1987
6016,cri,1988
6159,cri,1989
6239,cri,1990
6242,cri,1991
6650,cri,1992
6973,cri,1993
7128,cri,1994
7227,cri,1995
7111,cri,1996
7320,cri,1997
7739,cri,1998
8176,cri,1999
8137,cri,2000
8053,cri,2001
8124,cri,2002
8483,cri,2003
8688,cri,2004
9042,cri,2005
9673,cri,2006
10270,cri,2007
10390,cri,2008
10130,cri,2009
10450,cri,2010
10730,cri,2011
2620,civ,1980
2594,civ,1981
2489,civ,1982
2292,civ,1983
2141,civ,1984
2151,civ,1985
2139,civ,1986
2056,civ,1987
2009,civ,1988
1998,civ,1989
1911,civ,1990
1848,civ,1991
1784,civ,1992
1724,civ,1993
1685,civ,1994
1753,civ,1995
1837,civ,1996
1891,civ,1997
1933,civ,1998
1919,civ,1999
1811,civ,2000
1777,civ,2001
1722,civ,2002
1669,civ,2003
1672,civ,2004
1666,civ,2005
1649,civ,2006
1649,civ,2007
1657,civ,2008
1688,civ,2009
1694,civ,2010
1581,civ,2011
13390,hrv,1990
11200,hrv,1991
9973,hrv,1992
8837,hrv,1993
9335,hrv,1994
9925,hrv,1995
10920,hrv,1996
11440,hrv,1997
11850,hrv,1998
11590,hrv,1999
12370,hrv,2000
12780,hrv,2001
13410,hrv,2002
14130,hrv,2003
14710,hrv,2004
15330,hrv,2005
16100,hrv,2006
16930,hrv,2007
17300,hrv,2008
16280,hrv,2009
16130,hrv,2010
16160,hrv,2011
11260,cyp,1980
11350,cyp,1981
11890,cyp,1982
12450,cyp,1983
13370,cyp,1984
13850,cyp,1985
14200,cyp,1986
15040,cyp,1987
16170,cyp,1988
17210,cyp,1989
18090,cyp,1990
17760,cyp,1991
18920,cyp,1992
18600,cyp,1993
19290,cyp,1994
20100,cyp,1995
20150,cyp,1996
20330,cyp,1997
21100,cyp,1998
21870,cyp,1999
22730,cyp,2000
23390,cyp,2001
23590,cyp,2002
23630,cyp,2003
24060,cyp,2004
24410,cyp,2005
24930,cyp,2006
25830,cyp,2007
26460,cyp,2008
25790,cyp,2009
25960,cyp,2010
26050,cyp,2011
16520,cze,1990
14630,cze,1991
14540,cze,1992
14540,cze,1993
14850,cze,1994
15750,cze,1995
16480,cze,1996
16360,cze,1997
16330,cze,1998
16630,cze,1999
17340,cze,2000
17940,cze,2001
18380,cze,2002
19070,cze,2003
19960,cze,2004
21260,cze,2005
22680,cze,2006
23830,cze,2007
24360,cze,2008
23080,cze,2009
23640,cze,2010
23970,cze,2011
20790,dnk,1980
20610,dnk,1981
21390,dnk,1982
21970,dnk,1983
22900,dnk,1984
23810,dnk,1985
24960,dnk,1986
25000,dnk,1987
24950,dnk,1988
25080,dnk,1989
25440,dnk,1990
25710,dnk,1991
26130,dnk,1992
26020,dnk,1993
27360,dnk,1994
28050,dnk,1995
28690,dnk,1996
29480,dnk,1997
30010,dnk,1998
30680,dnk,1999
31650,dnk,2000
31760,dnk,2001
31810,dnk,2002
31840,dnk,2003
32490,dnk,2004
33190,dnk,2005
34210,dnk,2006
34600,dnk,2007
34120,dnk,2008
31960,dnk,2009
32230,dnk,2010
32400,dnk,2011
2736,dji,1990
2532,dji,1991
2477,dji,1992
2278,dji,1993
2221,dji,1994
2098,dji,1995
1956,dji,1996
1879,dji,1997
1818,dji,1998
1798,dji,1999
1756,dji,2000
1749,dji,2001
1758,dji,2002
1781,dji,2003
1817,dji,2004
1840,dji,2005
1893,dji,2006
1952,dji,2007
2026,dji,2008
2087,dji,2009
4002,dma,1980
4482,dma,1981
4681,dma,1982
4834,dma,1983
5133,dma,1984
5239,dma,1985
5657,dma,1986
6138,dma,1987
6721,dma,1988
6752,dma,1989
7138,dma,1990
7190,dma,1991
7325,dma,1992
7425,dma,1993
7513,dma,1994
7660,dma,1995
7883,dma,1996
8038,dma,1997
8490,dma,1998
8598,dma,1999
8444,dma,2000
8456,dma,2001
8321,dma,2002
8965,dma,2003
9277,dma,2004
9259,dma,2005
9721,dma,2006
10140,dma,2007
10970,dma,2008
10930,dma,2009
10990,dma,2010
11120,dma,2011
3766,dom,1980
3838,dom,1981
3815,dom,1982
3903,dom,1983
3865,dom,1984
3702,dom,1985
3750,dom,1986
4043,dom,1987
4045,dom,1988
4137,dom,1989
3833,dom,1990
3793,dom,1991
4110,dom,1992
4323,dom,1993
4341,dom,1994
4497,dom,1995
4735,dom,1996
5030,dom,1997
5296,dom,1998
5562,dom,1999
5785,dom,2000
5799,dom,2001
6042,dom,2002
5936,dom,2003
5925,dom,2004
6380,dom,2005
6961,dom,2006
7445,dom,2007
7728,dom,2008
7887,dom,2009
8387,dom,2010
8651,dom,2011
5699,ecu,1980
5731,ecu,1981
5547,ecu,1982
5264,ecu,1983
5324,ecu,1984
5340,ecu,1985
5419,ecu,1986
5172,ecu,1987
5471,ecu,1988
5395,ecu,1989
5414,ecu,1990
5569,ecu,1991
5531,ecu,1992
5432,ecu,1993
5575,ecu,1994
5568,ecu,1995
5603,ecu,1996
5736,ecu,1997
5766,ecu,1998
5319,ecu,1999
5381,ecu,2000
