internet_users_total_number,geo,time
25000,gum,2000
40000,gum,2001
50000,gum,2002
55000,gum,2003
60000,gum,2004
65000,gum,2005
75000,gum,2006
79990,gum,2007
84990,gum,2008
89990,gum,2009
0,gtm,1990
300.3,gtm,1995
2002,gtm,1996
10010,gtm,1997
50030,gtm,1998
65040,gtm,1999
80050,gtm,2000
200100,gtm,2001
400200,gtm,2002
550300,gtm,2003
632600,gtm,2004
724900,gtm,2005
847300,gtm,2006
975200,gtm,2007
1136000,gtm,2008
1305000,gtm,2009
1511000,gtm,2010
0,gin,1990
10.03,gin,1994
50.58,gin,1995
152.1,gin,1996
303.6,gin,1997
503.3,gin,1998
5002,gin,1999
7963,gin,2000
14870,gin,2001
34590,gin,2002
39430,gin,2003
45230,gin,2004
49030,gin,2005
58660,gin,2006
73120,gin,2007
87940,gin,2008
91760,gin,2009
99820,gin,2010
0,gnb,1990
191.9,gnb,1997
287.2,gnb,1998
1432,gnb,1999
2855,gnb,2000
3789,gnb,2001
13190,gnb,2002
17800,gnb,2003
24240,gnb,2004
26000,gnb,2005
28710,gnb,2006
31420,gnb,2007
34230,gnb,2008
34180,gnb,2009
37120,gnb,2010
0,guy,1990
480.1,guy,1996
962,guy,1997
1929,guy,1998
29010,guy,1999
48470,guy,2000
97110,guy,2001
136800,guy,2008
180000,guy,2009
225600,guy,2010
0,hti,1990
601.1,hti,1996
2002,hti,1998
6003,hti,1999
19990,hti,2000
29970,hti,2001
79830,hti,2002
149500,hti,2003
497600,hti,2004
596000,hti,2005
644200,hti,2006
691800,hti,2007
740000,hti,2008
799000,hti,2009
836400,hti,2010
0,hnd,1990
2050,hnd,1995
2494,hnd,1996
9979,hnd,1997
17960,hnd,1998
34930,hnd,1999
74860,hnd,2000
89830,hnd,2001
168200,hnd,2002
317200,hnd,2003
377600,hnd,2004
447200,hnd,2005
547400,hnd,2006
672900,hnd,2007
701100,hnd,2008
730100,hnd,2009
842900,hnd,2010
0,hkg,1990
7084,hkg,1991
50240,hkg,1992
79720,hkg,1993
168400,hkg,1994
197800,hkg,1995
297700,hkg,1996
674700,hkg,1997
954800,hkg,1998
1421000,hkg,1999
1888000,hkg,2000
2641000,hkg,2001
2945000,hkg,2002
3561000,hkg,2003
3840000,hkg,2004
3875000,hkg,2005
4154000,hkg,2006
4454000,hkg,2007
4620000,hkg,2008
4850000,hkg,2009
5078000,hkg,2010
0,hun,1990
350.5,hun,1991
5006,hun,1992
20020,hun,1993
50010,hun,1994
69990,hun,1995
99970,hun,1996
199900,hun,1997
399800,hun,1998
599700,hun,1999
714700,hun,2000
1480000,hun,2001
1694000,hun,2002
2192000,hun,2003
2805000,hun,2004
3931000,hun,2005
4736000,hun,2006
5353000,hun,2007
5612000,hun,2008
6182000,hun,2009
6516000,hun,2010
0,isl,1990
1300,isl,1991
4000,isl,1992
7000,isl,1993
18000,isl,1994
30000,isl,1995
40000,isl,1996
74970,isl,1997
99950,isl,1998
115000,isl,1999
125100,isl,2000
140300,isl,2001
226900,isl,2002
240900,isl,2003
245800,isl,2004
258200,isl,2005
269400,isl,2006
277000,isl,2007
282700,isl,2008
293500,isl,2009
304100,isl,2010
0,ind,1990
1013,ind,1992
2025,ind,1993
10120,ind,1994
253000,ind,1995
455300,ind,1996
