new_births_total_number_estimated,geo,time
28680,arm,1847
28950,arm,1848
29210,arm,1849
29520,arm,1850
29780,arm,1851
30060,arm,1852
30360,arm,1853
30640,arm,1854
30920,arm,1855
31240,arm,1856
31520,arm,1857
31810,arm,1858
32140,arm,1859
32430,arm,1860
32720,arm,1861
33060,arm,1862
33360,arm,1863
33660,arm,1864
34010,arm,1865
34320,arm,1866
34630,arm,1867
34950,arm,1868
35310,arm,1869
35630,arm,1870
35950,arm,1871
36320,arm,1872
36640,arm,1873
36980,arm,1874
37360,arm,1875
37700,arm,1876
38030,arm,1877
38420,arm,1878
38770,arm,1879
39120,arm,1880
39520,arm,1881
39880,arm,1882
40240,arm,1883
40640,arm,1884
41020,arm,1885
41390,arm,1886
41760,arm,1887
42190,arm,1888
42570,arm,1889
42960,arm,1890
43400,arm,1891
43790,arm,1892
44190,arm,1893
44650,arm,1894
45050,arm,1895
45410,arm,1896
45770,arm,1897
46130,arm,1898
46500,arm,1899
46870,arm,1900
47240,arm,1901
47610,arm,1902
47990,arm,1903
48370,arm,1904
48750,arm,1905
49140,arm,1906
49520,arm,1907
49910,arm,1908
50300,arm,1909
50700,arm,1910
51100,arm,1911
51510,arm,1912
51920,arm,1913
52330,arm,1914
52740,arm,1915
53160,arm,1916
53580,arm,1917
54010,arm,1918
54440,arm,1919
54870,arm,1920
55310,arm,1921
55750,arm,1922
56190,arm,1923
56640,arm,1924
57090,arm,1925
56580,arm,1926
56060,arm,1927
55460,arm,1928
54910,arm,1929
54370,arm,1930
53830,arm,1931
53290,arm,1932
52750,arm,1933
52210,arm,1934
51670,arm,1935
51130,arm,1936
50590,arm,1937
50050,arm,1938
49510,arm,1939
48970,arm,1940
48430,arm,1941
47890,arm,1942
47350,arm,1943
46810,arm,1944
46270,arm,1945
45730,arm,1946
45190,arm,1947
44650,arm,1948
44110,arm,1949
43570,arm,1950
44970,arm,1951
47800,arm,1952
50660,arm,1953
53550,arm,1954
56470,arm,1955
59370,arm,1956
62190,arm,1957
64840,arm,1958
67130,arm,1959
68840,arm,1960
69810,arm,1961
69860,arm,1962
68970,arm,1963
67270,arm,1964
65030,arm,1965
62640,arm,1966
60480,arm,1967
58870,arm,1968
57970,arm,1969
57800,arm,1970
58260,arm,1971
59100,arm,1972
60080,arm,1973
61140,arm,1974
62260,arm,1975
63440,arm,1976
64740,arm,1977
66190,arm,1978
67760,arm,1979
69460,arm,1980
71340,arm,1981
73340,arm,1982
75340,arm,1983
77180,arm,1984
78650,arm,1985
79490,arm,1986
79550,arm,1987
78740,arm,1988
77040,arm,1989
74400,arm,1990
70830,arm,1991
66560,arm,1992
61880,arm,1993
57060,arm,1994
52470,arm,1995
48440,arm,1996
45160,arm,1997
42740,arm,1998
41240,arm,1999
40590,arm,2000
40640,arm,2001
41070,arm,2002
