geo,electricity_use_per_person,time
dnk,6482,2000
dnk,6490,2001
dnk,6534,2002
dnk,6603,2003
dnk,6616,2004
dnk,6659,2005
dnk,6825,2006
dnk,6668,2007
dnk,6534,2008
dnk,6220,2009
dnk,6327,2010
dnk,6122,2011
dom,326.1,1971
dom,307.1,1972
dom,398.2,1973
dom,363,1974
dom,400.9,1975
dom,379.9,1976
dom,420,1977
dom,408.1,1978
dom,470,1979
dom,439.6,1980
dom,441.1,1981
dom,326.4,1982
dom,363.8,1983
dom,441.1,1984
dom,472.4,1985
dom,479.9,1986
dom,473.1,1987
dom,376.3,1988
dom,330.8,1989
dom,385.2,1990
dom,394.7,1991
dom,535.1,1992
dom,503.4,1993
dom,520.9,1994
dom,491.7,1995
dom,626.5,1996
dom,629.8,1997
dom,667,1998
dom,653.6,1999
dom,722.2,2000
dom,1031,2001
dom,825.5,2002
dom,801.6,2003
dom,825.1,2004
dom,737.2,2005
dom,818.6,2006
dom,851.8,2007
dom,849.1,2008
dom,812.6,2009
dom,830.5,2010
dom,893.3,2011
ecu,145.7,1971
ecu,150.7,1972
ecu,164.7,1973
ecu,175.9,1974
ecu,198,1975
ecu,225.5,1976
ecu,254.4,1977
ecu,294.5,1978
ecu,330.3,1979
ecu,363.2,1980
ecu,388.4,1981
ecu,408.1,1982
ecu,413.2,1983
ecu,416.5,1984
ecu,402.1,1985
ecu,422.8,1986
ecu,456.9,1987
ecu,456.7,1988
ecu,450.6,1989
ecu,485.8,1990
ecu,514.4,1991
ecu,528.3,1992
ecu,523.3,1993
ecu,556.5,1994
ecu,559,1995
ecu,619.9,1996
ecu,663.2,1997
ecu,695.5,1998
ecu,642.8,1999
ecu,642.4,2000
ecu,653.6,2001
ecu,660.2,2002
ecu,673.5,2003
ecu,737.6,2004
ecu,759.9,2005
ecu,838.9,2006
ecu,912.6,2007
ecu,1057,2008
ecu,1078,2009
ecu,1123,2010
ecu,1192,2011
egy,194.2,1971
egy,190.8,1972
egy,188,1973
egy,207.7,1974
egy,229.4,1975
egy,262,1976
egy,295.5,1977
egy,309.5,1978
egy,333.8,1979
egy,368.2,1980
egy,404,1981
