geo,renewable_water_cu_meters_per_person,time
rus,30840,2002
rus,31470,2007
rwa,3159,1962
rwa,2788,1967
rwa,2363,1972
rwa,2019,1977
rwa,1719,1982
rwa,1399,1987
rwa,1438,1992
rwa,1493,1997
rwa,1084,2002
rwa,1004,2007
kna,470.9,1962
kna,506.6,1967
kna,541.4,1972
kna,546.4,1977
kna,561.7,1982
kna,581.4,1987
kna,580.7,1992
kna,542.1,1997
kna,507.7,2002
kna,482.2,2007
stp,33810,1962
stp,32230,1967
stp,28350,1972
stp,25050,1977
stp,22130,1982
stp,20090,1987
stp,18030,1992
stp,16420,1997
stp,15020,2002
stp,14050,2007
sau,553.7,1962
sau,467.7,1967
sau,383.2,1972
sau,297.1,1977
sau,221.7,1982
sau,167.7,1987
sau,140,1992
sau,125,1997
sau,109.5,2002
sau,99.27,2007
sen,11200,1962
sen,9670,1967
sen,8287,1972
sen,7173,1977
sen,6241,1982
sen,5373,1987
sen,4646,1992
sen,4064,1997
sen,3563,2002
sen,3214,2007
scg,19990,1992
scg,19140,1997
scg,19550,2002
scg,19910,2007
sle,68590,1962
sle,62720,1967
sle,57270,1972
sle,52360,1977
sle,47670,1982
sle,42090,1987
sle,38690,1992
sle,37950,1997
sle,32490,2002
sle,27860,2007
sgp,344.2,1962
sgp,305.9,1967
sgp,278.7,1972
sgp,258.9,1977
sgp,238.1,1982
sgp,212.5,1987
sgp,188.6,1992
sgp,162,1997
sgp,144.1,2002
sgp,136.9,2007
svk,9310,1997
svk,9299,2002
svk,9298,2007
svn,16150,1997
svn,16010,2002
svn,15930,2007
slb,356000,1962
slb,306300,1967
slb,258900,1972
slb,216300,1977
slb,181900,1982
slb,155000,1987
slb,134600,1992
slb,116800,1997
slb,102100,2002
slb,92350,2007
som,4980,1962
som,4393,1967
som,3998,1972
som,2900,1977
som,2201,1982
som,2238,1987
som,2256,1992
som,2285,1997
som,1962,2002
som,1741,2007
zaf,2729,1962
zaf,2399,1967
zaf,2107,1972
zaf,1851,1977
zaf,1633,1982
zaf,1456,1987
