geo,hydro_power_generation_per_person,time
cod,0.0147,1973
cod,0.01288,1974
cod,0.01367,1975
cod,0.01435,1976
cod,0.01413,1977
cod,0.01349,1978
cod,0.013,1979
cod,0.0135,1980
cod,0.0129,1981
cod,0.01242,1982
cod,0.01313,1983
cod,0.01338,1984
cod,0.01392,1985
cod,0.01415,1986
cod,0.01369,1987
cod,0.01329,1988
cod,0.01693,1989
cod,0.01329,1990
cod,0.01195,1991
cod,0.0132,1992
cod,0.01157,1993
cod,0.01067,1994
cod,0.01202,1995
cod,0.01156,1996
cod,0.00932,1997
cod,0.00855,1998
cod,0.00941,1999
cod,0.01039,2000
cod,0.01007,2001
cod,0.01001,2002
cod,0.00979,2003
cod,0.01092,2004
cod,0.01107,2005
cod,0.01094,2006
cod,0.01106,2007
cod,0.01029,2008
cod,0.01044,2009
cod,0.01023,2010
cog,0.00337,1971
cog,0.004,1972
cog,0.00294,1973
cog,0.00314,1974
cog,0.00321,1975
cog,0.00338,1976
cog,0.0025,1977
cog,0.00056,1978
cog,0.00379,1979
cog,0.00478,1980
cog,0.00478,1981
cog,0.00784,1982
cog,0.01016,1983
cog,0.01067,1984
cog,0.01202,1985
cog,0.01076,1986
cog,0.01086,1987
cog,0.01098,1988
cog,0.01468,1989
cog,0.01764,1990
cog,0.01682,1991
cog,0.01447,1992
cog,0.01193,1993
cog,0.01041,1994
cog,0.01108,1995
cog,0.01395,1996
cog,0.01341,1997
cog,0.00989,1998
cog,0.00267,1999
cog,0.00809,2000
cog,0.00894,2001
cog,0.01035,2002
cog,0.00874,2003
cog,0.00823,2004
cog,0.00864,2005
cog,0.00881,2006
cog,0.00772,2007
cog,0.0084,2008
cog,0.0072,2009
cog,0.00915,2010
cri,0.04739,1971
cri,0.04946,1972
cri,0.04979,1973
cri,0.05367,1974
cri,0.05435,1975
cri,0.05928,1976
cri,0.05327,1977
cri,0.05731,1978
cri,0.06122,1979
cri,0.07779,1980
cri,0.08155,1981
cri,0.08284,1982
cri,0.09403,1983
cri,0.09862,1984
cri,0.08804,1985
cri,0.08988,1986
cri,0.09081,1987
cri,0.0898,1988
cri,0.0956,1989
cri,0.09472,1990
cri,0.09988,1991
cri,0.09556,1992
cri,0.1023,1993
cri,0.1002,1994
cri,0.08812,1995
cri,0.09215,1996
cri,0.1133,1997
cri,0.09855,1998
cri,0.1153,1999
cri,0.1247,2000
