geo,malaria_cases_per_100000_reported,time
tjk,308.8,2000
tjk,182.3,2001
tjk,97.5,2002
tjk,84.94,2003
tjk,27.89,2004
tjk,21.34,2005
tjk,11.69,2006
tur,15.14,1990
tur,20.92,1991
tur,31.4,1992
tur,77.97,1993
tur,136.8,1994
tur,130.9,1995
tur,95.37,1996
tur,54.6,1997
tur,55.79,1998
tur,31.23,1999
tur,16.77,2000
tur,15.62,2001
tur,14.56,2002
tur,12.96,2003
tur,7.343,2004
tur,2.812,2005
tur,1.038,2006
tkm,0.02726,1990
tkm,0.4505,1991
tkm,0.2831,1992
tkm,0.07506,1993
tkm,0.2195,1994
tkm,0.2385,1995
tkm,0.3279,1996
tkm,0.323,1997
tkm,3.121,1998
tkm,1.102,1999
tkm,0.5331,2000
tkm,0.1095,2001
tkm,0.1728,2002
tkm,0.149,2003
tkm,0.06295,2004
tkm,0.02069,2005
tkm,0,2006
uzb,0.1365,1990
uzb,0.05712,1991
uzb,0.1162,1992
uzb,0.1636,1993
uzb,0.09342,1994
uzb,0.1178,1995
uzb,0.2187,1996
uzb,0.2195,1997
uzb,0.3079,1998
uzb,0.3487,1999
uzb,0.5096,2000
uzb,0.307,2001
uzb,0.2907,2002
uzb,0.2865,2003
uzb,0.2518,2004
uzb,0.3836,2005
uzb,0.2817,2006
bgd,47.66,1990
bgd,54.97,1991
bgd,97.76,1992
bgd,103.7,1993
bgd,134.7,1994
bgd,120.9,1995
bgd,78.24,1996
bgd,52.15,1997
bgd,44.75,1998
bgd,46.6,1999
bgd,43.32,2000
bgd,254.3,2001
bgd,212,2002
bgd,332.7,2003
bgd,143.3,2004
bgd,124.4,2005
bgd,232.1,2006
btn,1735,1990
btn,4064,1991
btn,5402,1992
btn,5382,1993
btn,7785,1994
btn,4573,1995
btn,3084,1996
btn,1747,1997
btn,1455,1998
btn,2252,1999
btn,1063,2000
btn,1783,2001
btn,1220,2002
btn,665.5,2003
btn,485.8,2004
btn,305.6,2005
btn,306.9,2006
prk,4.818,1998
prk,35.09,1999
prk,321.4,2000
prk,1283,2001
prk,1036,2002
prk,258.8,2003
prk,143.8,2004
prk,48.73,2005
prk,39.45,2006
ind,234.7,1990
ind,241,1991
ind,236.8,1992
ind,240.8,1993
ind,268.5,1994
ind,313.1,1995
ind,312,1996
ind,268.3,1997
ind,220.1,1998
ind,222.2,1999
ind,194.2,2000
ind,196,2001
ind,170.2,2002
ind,170,2003
ind,171.5,2004
ind,160.1,2005
ind,155,2006
idn,94.02,1990
idn,71.26,1991
